atletas.slug,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,CA,FC,FD,FF,FS,G,I,PE,RB,DD,GS,SG,A,FT,DP,GC,PP,CV
diego-cavalieri,38431,3,263,gol,Nulo,0,6,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rodrigo-pimpao,68901,3,263,ata,Provável,0.5,1.87,-0.24,0.3,Botafogo,2,6,2,2,NA,NA,1,7,1,NA,NA,NA,1,NA,NA,NA,NA,NA
joao-paulo,72168,3,263,mei,Provável,3.1,9.5,-0.58,5.47,Botafogo,1,3,2,2,5,1,NA,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
nuno,104326,3,314,zag,Nulo,0,2,0,0,Avaí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cicero,37688,3,263,mei,Provável,4.9,13.54,-0.66,8.63,Botafogo,NA,NA,1,1,11,1,NA,7,5,NA,NA,NA,1,NA,NA,NA,NA,NA
erik,84848,3,263,ata,Provável,8.6,13.03,0.93,7.83,Botafogo,NA,3,3,1,8,1,NA,8,4,NA,NA,NA,1,NA,NA,NA,NA,NA
kieza,68930,3,356,ata,Nulo,0,4.6,0,1.5,Fortaleza,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alex-santana,85465,3,263,mei,Nulo,9.7,9.43,2.33,4.7,Botafogo,NA,1,NA,NA,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
gabriel,87393,3,263,zag,Provável,12.2,8.57,3.43,5.07,Botafogo,NA,NA,NA,NA,3,NA,NA,6,7,NA,NA,1,NA,NA,NA,NA,NA,NA
luiz-fernando,90715,3,263,mei,Nulo,0,4.17,0,0.35,Botafogo,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jean,89150,3,263,mei,Nulo,0,5,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leonardo-valencia,91508,3,263,mei,Nulo,0,5.76,0,0.65,Botafogo,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gustavo-ferrareis,89815,3,263,mei,Nulo,0,3.61,0,0.2,Botafogo,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alan-santos,70132,3,263,mei,Nulo,0,4,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diego,99430,3,263,gol,Nulo,0,1,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joel-carli,93414,3,263,zag,Provável,6,8.12,1.06,3.57,Botafogo,1,1,NA,NA,2,NA,NA,11,7,NA,NA,1,NA,NA,NA,NA,NA,NA
gustavo-bochecha,95798,3,263,mei,Provável,0.2,7.3,-0.64,2.53,Botafogo,NA,3,NA,NA,5,NA,NA,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
wenderson,99474,3,263,mei,Nulo,0,3.4,0,2.9,Botafogo,NA,NA,NA,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
marcinho,93797,3,263,lat,Nulo,5,6.08,1.23,2.2,Botafogo,NA,2,NA,1,NA,NA,NA,4,2,NA,NA,1,NA,NA,NA,NA,NA,NA
igor-cassio,99661,3,263,ata,Nulo,0,2,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marcelo-benevenuto,95638,3,263,zag,Nulo,0,6,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
andrew,103183,3,263,gol,Nulo,0,2,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fernando,99550,3,263,lat,Provável,7.2,3.16,2.16,7.2,Botafogo,NA,3,NA,NA,2,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA
rhuan,102958,3,263,ata,Nulo,0,1,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rickson,100002,3,263,mei,Nulo,0,2,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alessandro,104081,3,263,mei,Nulo,0,1,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jonathan,102597,3,263,lat,Dúvida,0,1.04,0,-2.5,Botafogo,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glauber,104610,3,263,zag,Nulo,0,2,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lucas-alves,104651,3,263,gol,Nulo,0,1,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fernando-henrique,37717,3,354,gol,Nulo,0,4,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
andre,104080,3,263,gol,Nulo,0,1,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lucas-barros,104650,3,263,lat,Nulo,0,1,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
edinho,37792,3,354,mei,Provável,-0.8,2.63,-1.37,-0.8,Ceará,NA,NA,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pedro-ken,50877,3,354,mei,Nulo,1,3.24,-0.76,1,Ceará,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tiago-alves,51495,3,354,zag,Provável,2,6.82,-0.04,2.97,Ceará,NA,2,NA,1,1,NA,NA,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA
thiago-carleto,51700,3,354,lat,Provável,1,7.73,-0.52,2.1,Ceará,NA,3,1,1,1,NA,NA,9,2,NA,NA,1,NA,NA,NA,NA,NA,NA
felipe-baxola,71113,3,354,mei,Contundido,0,6,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
roger,38287,3,354,ata,Nulo,0,5.64,0,3,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
ricardo-bueno,69141,3,354,ata,Provável,9.6,19.89,2.05,9.13,Ceará,NA,7,2,3,1,3,3,3,2,NA,NA,NA,1,NA,NA,NA,1,NA
juninho,71937,3,356,mei,Provável,-0.3,4.25,-1.75,-0.3,Fortaleza,1,3,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
diogo-silva,71882,3,354,gol,Provável,-1,8.12,-1.32,3.57,Ceará,NA,NA,NA,NA,NA,NA,NA,1,NA,4,3,1,NA,NA,NA,NA,NA,NA
samuel-xavier,73384,3,354,lat,Provável,4.7,13.02,0.2,5.83,Ceará,NA,1,NA,1,3,NA,1,6,2,NA,NA,1,2,NA,NA,NA,NA,NA
luiz-fernando,105176,3,293,ata,Nulo,0,2,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
luiz-otavio,72359,3,354,zag,Provável,0.9,11.17,-0.95,4.33,Ceará,NA,2,NA,NA,2,NA,NA,5,3,NA,NA,1,1,NA,NA,NA,NA,NA
eduardo-brock,78654,3,354,zag,Nulo,0,4,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
juninho-quixada,71787,3,354,mei,Contundido,0,5,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bryan,97536,3,315,lat,Nulo,0,2,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
helerson,101073,3,263,zag,Nulo,0,2,0,0,Botafogo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auremir,77570,3,354,mei,Nulo,0,4.43,0,2.1,Ceará,NA,5,NA,NA,2,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
cristovam,82930,3,354,lat,Nulo,0,3,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
richard,78851,3,354,gol,Nulo,0,6,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
romario-rodrigues,79336,3,354,ata,Nulo,0,2,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chico,82407,3,354,mei,Nulo,-0.3,4.42,-0.59,0.83,Ceará,NA,7,NA,NA,3,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
fabinho,80393,3,354,mei,Provável,1.5,5.95,-0.16,2.2,Ceará,NA,3,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
fernando-sobral,84428,3,354,mei,Provável,-0.9,3.8,-0.94,1.33,Ceará,NA,4,NA,2,1,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
charles,84187,3,354,zag,Nulo,0,4,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vitor-feijao,93005,3,354,ata,Nulo,0,3,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
valdo,84509,3,354,zag,Nulo,0,3,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joao-lucas,86740,3,354,lat,Nulo,0,12.49,0,13,Ceará,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
william-oliveira,94297,3,354,mei,Nulo,0,3,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marco-ruben,73741,3,293,ata,Provável,0,18.83,0,9.45,Athlético-PR,NA,3,1,1,NA,1,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,NA
joao-paulo,91972,3,354,ata,Nulo,0,3,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
matheus-matias,100430,3,314,ata,Nulo,0,2.18,-0.82,0,Avaí,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leo,71043,3,293,gol,Nulo,0,3,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leandro-carvalho,88669,3,354,ata,Provável,0,12.04,0,5.75,Ceará,NA,1,1,2,1,1,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
leo-pereira,83528,3,293,zag,Provável,1.7,9.1,-0.9,4.83,Athlético-PR,1,3,2,1,2,1,1,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
leo-cittadini,70986,3,293,mei,Nulo,6,5.66,0.66,6,Athlético-PR,NA,3,1,2,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
lucho-gonzalez,71479,3,293,mei,Nulo,0.7,5.32,-1.68,0.7,Athlético-PR,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
madson,78077,3,293,lat,Contundido,0,4,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruno-nazario,81776,3,293,mei,Nulo,0,3,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eder,91203,3,293,zag,Nulo,0,3,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
matheus-rossetto,86766,3,293,mei,Nulo,0,4,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ze-ivaldo,91866,3,293,zag,Nulo,0,4,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rony,91607,3,293,ata,Provável,7.7,12.19,1.46,6.3,Athlético-PR,1,4,2,2,8,1,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA
bill,95131,3,293,ata,Nulo,0,2,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tomas-andrade,97619,3,293,mei,Provável,0,5.24,0,1.25,Athlético-PR,NA,NA,1,2,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jaderson,98224,3,293,mei,Nulo,0,1,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
renan-lodi,96591,3,293,lat,Provável,0,7.9,0,1.55,Athlético-PR,NA,5,4,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tiago-nunes,98057,3,293,tec,Provável,3.16,8.77,0.11,3.55,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
robson-bambu,101579,3,293,zag,Nulo,0.6,4.56,-1.44,0.6,Athlético-PR,NA,3,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruno-guimaraes,98352,3,293,mei,Provável,0,13.46,0,6.35,Athlético-PR,NA,6,NA,1,6,1,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA
erick,98022,3,293,mei,Nulo,2.4,1.54,0.54,2.4,Athlético-PR,NA,3,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
alex-nagib,98933,3,293,mei,Nulo,0,1,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
